term,tfidf_sum,tfidf_avg_per_doc,doc_freq,idf,max_doc_tfidf
required,3226.087821949781,3.1752832893206504,515,1.6785056305669972,72.17574211438088
generative,3218.574031293619,3.167887826076397,148,2.9206660901031007,303.74927337072245
access,3194.7269189825593,3.1444162588411015,365,2.0219790626471936,169.84624126236426
application,3175.247754629715,3.125243852982003,362,2.0302095617837095,109.63131633632031
order,3160.3935967798607,3.1106236188778156,330,2.122494020671497,275.9242226872946
subparagraph,3155.375808587696,3.1056848509721418,279,2.2898227928793102,151.12830433003447
provider,3145.4760984936065,3.0959410418244158,140,2.9758525056703915,672.5426662815084
supply,3144.181293006533,3.094666626974934,149,2.9139771019523044,402.128840069418
industry,3136.6199483232817,3.087224358585907,288,2.2581857079361276,160.33118526346507
advanced,3132.7631136032783,3.0834282614205493,264,2.344882570062338,171.17642761455068
code,3111.6359863785733,3.0626338448608004,427,1.8654892004667631,87.67799242193787
year,3107.8924169360153,3.0589492292677316,518,1.6727085128826713,309.4510748832942
policy,3105.7398077249213,3.0568305194142926,352,2.0581443391152634,90.5583509210716
respect,3079.504523362345,3.0310083891361663,399,1.933147848940578,81.19220965550427
provided,3077.736378831646,3.0292680894012265,457,1.797743211934375,142.02171374281562
available,3054.817029060236,3.0067096742718857,494,1.7200546334798696,99.76316874183244
work,3043.0090342574167,2.9950876321431266,280,2.286257726714814,118.88540178917033
civil,3026.867261096456,2.979200060134307,281,2.282705325110446,134.6796141815163
ethics,3017.5172557134924,2.9699972989306027,95,3.360264204580724,453.6356676183977
infrastructure,2995.1002792968425,2.947933345764609,259,2.3639307650330323,312.03886098436027
impact,2986.6482344493807,2.939614403985611,310,2.184819483869326,109.2409741934663
capabilities,2961.5124180738326,2.9148744272380243,348,2.069540473846133,117.96380700922958
plan,2943.361035090846,2.897008892805951,255,2.3794349515689976,173.69875146453683
tools,2879.9520418828884,2.8345984664201658,295,2.2342529417245,205.551270638654
develop,2859.190748141934,2.8141641221869427,411,1.9035890466990337,95.17945233495169
process,2855.605415303153,2.810635251282631,401,1.9281603074295388,165.82178643894034
practices,2830.548850550633,2.7859732781010167,326,2.1346522251513065,117.40587238332185
testing,2810.9507014292662,2.766683761249278,274,2.3078412983819887,276.94095580583866
technical,2808.0595893483896,2.7638381784925095,330,2.122494020671497,231.35184825319317
eligible,2786.112653010762,2.7422368631995693,111,3.2061135247534653,314.1991254258396
responsible,2767.438665375601,2.7238569541098436,266,2.3373637376483103,165.95282537303004
consumer,2750.5723957083565,2.70725629498854,130,3.0494150728474083,457.4122609271112
later,2746.8709302806496,2.7036131203549703,564,1.587786664902119,53.98474660667205
council,2744.4735655626628,2.7012535094120698,130,3.0494150728474083,237.85437568209784
related,2720.6118881988677,2.6777676064949487,453,1.806515198007212,83.09969910833175
workforce,2704.658855628236,2.6620658027836965,214,2.553974367920897,222.19577000911804
accordance,2682.9268106107734,2.640675994695643,294,2.23763703970874,342.35846707543726
applicable,2670.0102170790674,2.627962812085696,344,2.0810679790172,210.1878658807372
violation,2669.048219857252,2.6270159644264295,203,2.606492402204344,96.44021888156072
international,2665.514569751279,2.623537962353621,198,2.6313075713240677,131.56537856620338
regulation,2663.4729890833573,2.6215285325623596,181,2.720605708971765,873.3144325799365
resources,2624.4758775115993,2.583145548731889,311,2.1816092082390774,98.17241437075849
innovation,2600.4198258680535,2.5594683325472967,273,2.3114842896604895,161.80390027623426
institutions,2593.336296673074,2.552496354993183,210,2.5727542625724933,514.5508525144986
transaction,2589.528463143292,2.5487484873457595,60,3.8137385318752486,568.2470412494121
programs,2585.124293839028,2.544413675038413,266,2.3373637376483103,257.11001114131415
purposes,2578.1856278605787,2.5375842793903334,502,1.7040222259488207,78.38502239364576
made,2575.061702357199,2.5345095495641723,421,1.8796070820125483,77.06389036251448
measures,2553.665209733338,2.5134500095800574,224,2.50851199384414,218.24054346444015
potential,2552.5751709473634,2.512377136759216,380,1.9818130209218592,93.14521198332739
authority,2545.937946014993,2.505844435054127,311,2.1816092082390774,357.7839101512087
days,2538.2785805112903,2.4983056894796163,436,1.84467920095297,180.77856169339105
performance,2534.8338317174002,2.4949151886982284,279,2.2898227928793102,125.94025360836206
subject,2515.8245340736307,2.4762052500724714,394,1.945726631147438,108.96069134425653
necessary,2509.865586569373,2.470340144261194,464,1.7825749904612036,151.5188741892023
sports,2492.2433129429646,2.4529953867548864,12,5.359663038587023,1468.5476725728442
establish,2485.8729775234683,2.446725371578217,447,1.8198191636335748,80.07204319987729
whether,2475.2094413336454,2.4362297650921705,377,1.9897182004289724,71.629855215443
frontier,2460.753059648927,2.422001042961542,37,4.287026236322174,638.766909212004
conduct,2455.6298702417384,2.4169585337024984,411,1.9035890466990337,59.01126044767005
force,2447.3419221108807,2.408801104439843,158,2.8557081938283284,137.07399330375978
make,2426.12066094354,2.3879140363617517,415,1.8939271357872967,113.6356281472378
framework,2425.393573923448,2.387198399530953,173,2.765557096834031,163.1678687132078
personal,2411.565788439279,2.373588374448109,173,2.765557096834031,210.18233935938633
administrator,2411.311646052166,2.373338234303313,110,3.2150821947362256,154.32394534733882
those,2410.3486509594222,2.3723904044876205,342,2.08688194888262,265.03400750809277
employer,2409.00069517277,2.3710636763511515,44,4.11794990627824,749.4668829426397
evaluation,2392.618685455678,2.3549396510390532,276,2.3005948898612214,131.13390872208961
providers,2387.641038244357,2.3500403919727924,116,3.1624384612508036,404.79212304010287
set,2384.3089778892468,2.3467608050091013,298,2.2241688226578735,318.0561416400759
software,2381.046185186351,2.3435493948684556,307,2.1945126130749855,89.9750171360744
purpose,2380.3361854889044,2.342850576268607,390,1.955904836063194,176.03143524568748
individuals,2377.954036980586,2.3405059419100254,311,2.1816092082390774,80.71954070484587
governance,2345.3925395175697,2.308457223934616,169,2.788813958998298,80.87560481095063
years,2344.951831445698,2.3080234561473407,413,1.8987464222232455,112.02603891117148
applications,2335.5250789376955,2.2987451564347396,291,2.247858593780278,85.41862656365058
enactment,2331.1749504101167,2.294463533868225,454,1.8043149770976097,61.34670922131873
media,2319.517290730955,2.2829894593808615,143,2.9547990964725592,121.14676295537492
established,2315.3576394463025,2.278895314415652,363,2.0274585284118194,105.42784347741461
task,2305.3175983532446,2.2690133842059494,108,3.2332645138194165,155.19669666333198
inserting,2290.868980229953,2.2547923033759383,163,2.824745968224361,180.78374196635912
users,2287.4599058909535,2.2514369152470013,196,2.6414086673105714,116.22198136166514
people,2282.7996427446074,2.246850042071464,244,2.423354185503833,176.9048555417798
one,2282.711346319747,2.2467631361414835,367,2.016529457879629,68.56200156790739
fiscal,2255.0088617173387,2.219496911139113,285,2.2686205852287076,433.30653177868317
products,2237.2815462987123,2.2020487660420396,214,2.553974367920897,211.97987253743446
processes,2235.861353935618,2.2006509389130096,282,2.2791654984053222,91.1666199362129
computing,2231.1574962869227,2.1960211577627193,203,2.606492402204344,205.91289977414317
attorney,2215.2014389787105,2.1803163769475495,157,2.862017363021593,120.20472924690691
organizations,2214.7604624886735,2.1798823449691667,246,2.415224059420583,268.0898705956847
existing,2210.98882637295,2.1761701046977855,364,2.0247150424660685,87.06274682604095
algorithm,2205.8061050303854,2.1710690010141587,111,3.2061135247534653,474.50480166351286
defined,2198.076503863261,2.1634611258496665,384,1.9713690617607758,61.11244091458405
activity,2182.234483968782,2.147868586583447,189,2.6775883238880738,149.94494613773213
higher,2164.091959301859,2.1300117709663966,177,2.742828845756475,351.0820922568288
board,2163.945978900906,2.1298680894693955,151,2.9007318752022835,139.23513000970962
executive,2159.330006035423,2.1253248090899834,204,2.6016024169101515,88.45448217494516
coordination,2155.7965773735623,2.1218470249739787,278,2.2934006142271945,116.96343132558692
improve,2155.038172872904,2.121100563851283,336,2.1045294656961984,56.822295573797355
center,2154.1433096158935,2.120219792929029,156,2.868366590700252,134.81322976291185
user,2150.935629160929,2.117062627126898,199,2.626295029500523,154.95140674053087
disclosure,2135.978019450161,2.1023405703249614,225,2.504077396776274,77.6263993000645
guidance,2135.607143726858,2.10197553516423,256,2.3755363111533403,133.03003342458706
enforcement,2133.453085865468,2.0998553994738858,227,2.495266767094119,177.16394046368245
based,2114.011414218085,2.080719895883942,342,2.08688194888262,81.38839600642218
does,2113.165572249689,2.0798873742615047,319,2.156291400254788,62.53245060738885
officer,2110.485525181144,2.0772495326586062,196,2.6414086673105714,137.35325070014972
administration,2104.402310440406,2.0712621165752028,263,2.348663292902244,70.45989878706732
commerce,2103.6601557553254,2.0705316493654777,246,2.415224059420583,89.36329019856157
implementation,2103.5115744469344,2.070385407920211,325,2.137715014681852,66.26916545513743
deployment,2096.147392446679,2.0631371972900383,229,2.4865330871253644,82.05559187513703
protection,2084.7011583325207,2.051871218831221,278,2.2934006142271945,142.19083808208606
identify,2080.031365778978,2.0472749663178917,376,1.992367208600549,85.6717899698236
foundation,2079.168164841378,2.0464253590958443,118,3.1454889029370308,503.2782244699249
chain,2077.3673933335454,2.0446529461944345,105,3.261173301936493,241.32682434330047
chief,2072.6986546457256,2.0400577309505175,160,2.843208031064097,90.9826569940511
emerging,2066.16526364801,2.0336272280000096,214,2.553974367920897,97.05102598099408
carry,2065.8596612386555,2.0333264382270233,324,2.1407872137188226,160.5590410289117
regulatory,2063.7223296587435,2.0312227654121493,169,2.788813958998298,170.11765149889618
recommendations,2063.042201670911,2.0305533481012903,351,2.060981220450463,65.95139905441482
authorized,2062.790275369467,2.030305389143176,272,2.3151406008636,268.5563097001776
algorithmic,2057.6526046311797,2.025248626605492,110,3.2150821947362256,231.48591802100825
social,2052.48376309577,2.02016118414938,200,2.621307487989484,110.09491449555834
pilot,2051.415285817371,2.019109533284814,99,3.3194422100604686,112.86103514205593
laws,2047.982993456662,2.0157312927723052,268,2.329901016446721,74.55683252629507
striking,2043.7733404462547,2.0115879335100932,113,3.1884139476540643,210.43532054516825
acquisition,2040.386508744996,2.008254437741138,183,2.709676638439574,270.9676638439574
policies,2036.1731499985256,2.004107431100911,281,2.282705325110446,57.067633127761155
president,2035.7369502418928,2.003678100631784,160,2.843208031064097,130.78756942894844
weather,2035.6975867810547,2.0036393570679674,45,4.095970999559465,274.43005697048415
uses,2035.6908696911003,2.003632745758957,308,2.1912711191508145,94.22465812348503
members,2029.5537492743185,1.9975922729077937,217,2.540117333259471,73.66340266452467
manufacturing,2019.0969699801724,1.9873001673033193,114,3.1796802676853098,206.67921739954514
institution,2007.5160862361138,1.9759016596812145,122,3.1124280406761424,457.5269219793929
financial,2004.0668549882732,1.972506747035702,234,2.465026881904401,138.04150538664646
vehicle,1994.5852521707563,1.9631744607979886,60,3.8137385318752486,270.77543576314264
country,1992.8660952635257,1.9614823772278795,88,3.4359760263164203,305.8018663421614
time,1976.0419332451634,1.9449231626428773,330,2.122494020671497,53.062350516787426
platform,1975.3670310444566,1.944258888823284,118,3.1454889029370308,198.16580088503295
procedures,1973.412848537027,1.9423354808435305,254,2.3833488508901337,116.78409369361655
surveillance,1970.0201633192107,1.9389962237393807,81,3.517893148784307,485.46925453223434
intended,1968.0858390173134,1.9370923612375133,215,2.5493339883643946,234.5387269295243
compliance,1965.5558594299262,1.9346022238483525,233,2.4692912806908582,160.5039332449058
learning,1963.5984523981347,1.9326756421241482,371,2.0057185417754133,82.23446021279194
scientific,1961.3580819305826,1.930470553081282,147,2.9274001222844452,172.71660721478227
submit,1958.0014112645547,1.9271667433706248,493,1.7220768788606375,49.940229486958486
private,1950.2571516978398,1.9195444406474802,324,2.1407872137188226,55.66046755668939
operations,1948.2685651837623,1.917587170456459,295,2.2342529417245,120.64965885312299
specific,1944.002681932738,1.9133884664692302,276,2.3005948898612214,128.83331383222838
design,1927.4542154207459,1.8971006057290807,240,2.439815462557905,100.03243396487412
community,1925.458273398105,1.8951360958642764,228,2.49089039249432,97.14472530727848
care,1925.3765711687474,1.8950556802842002,140,2.9758525056703915,294.6093980613688
otherwise,1910.5781483769624,1.8804903035206324,333,2.1134714030718595,48.60984227065277
city,1906.7384848982592,1.876711107183326,55,3.8992607053134107,257.3512065506851
promote,1898.1764298700475,1.8682838876673695,240,2.439815462557905,151.26855867859013
representatives,1896.96016053954,1.8670867721845867,442,1.8310426260034243,38.45189514607191
request,1895.2053138164006,1.8653595608429139,200,2.621307487989484,207.08329155116925
committees,1893.0226140792074,1.8632112343299285,263,2.348663292902244,68.11123549416507
key,1891.924063159217,1.8621299834244263,180,2.7261153647827343,130.85353750957125
credit,1891.911239734504,1.8621173619434095,86,3.4587042773939762,722.869193975341
joint,1890.0407866576309,1.8602763648205027,172,2.771320801550781,191.2211353070039
image,1887.5879300925396,1.857862135917854,130,3.0494150728474083,189.0637345165393
notice,1880.9416483211257,1.851320520001108,161,2.837016060816176,113.48064243264703
member,1879.3908785066158,1.84979417175848,147,2.9274001222844452,477.1662199323646
manner,1877.8251878734538,1.8482531376707223,374,1.9976863700781493,45.946786511797434
address,1866.0776422099664,1.8366905927263448,298,2.2241688226578735,73.39757114770983
amended,1863.0220569426601,1.833683126912067,323,2.1438688802562305,70.74767304845561
identified,1855.3610969098004,1.8261428119190948,278,2.2934006142271945,112.37663009713253
developed,1855.001105918541,1.8257884900773043,294,2.23763703970874,42.51510375446606
subdivision,1852.2043586020557,1.8230357860256454,102,3.289883407818924,187.52335424567866
countries,1844.9717851179473,1.8159171113365624,107,3.24248116892434,100.51691623665454
relating,1841.7016334779457,1.8126984581475845,396,1.9406761153613696,32.991493961143284
group,1839.7577718749512,1.8107852085383378,175,2.754128401010408,143.21467685254123
discrimination,1835.9334845156231,1.8070211461767944,126,3.0804253095899687,150.94084016990845
control,1834.2526125246977,1.805366744610923,291,2.247858593780278,80.92290937609002
consistent,1832.3152310309097,1.803459873061919,251,2.3951833085371366,146.10618182076533
nairr,1815.581938531812,1.78699009698013,8,5.727387818712341,584.1935575086587
material,1811.8519025500586,1.7833188017224986,184,2.704256570970235,86.53621027104752
extent,1810.2194496067143,1.781712056699522,303,2.207584694642338,68.43512553391248
benefits,1809.181995802498,1.7806909407504903,238,2.4481488441170494,156.68152602349116
additional,1803.8893679476328,1.7754816613657802,307,2.1945126130749855,46.084764874574695
require,1800.9573585819342,1.7725958253759195,318,2.1594212932637156,58.30437491812032
developing,1795.3802410917772,1.7671065365076548,297,2.2275189095431553,109.1484265676146
provisions,1791.30981944293,1.7631002159871356,260,2.3600919887258662,77.88303562795359
authorities,1772.7584179412022,1.7448409625405534,176,2.7484626634747307,651.3856512435111
iaas,1771.8841874656691,1.7439804994740837,3,6.538318034928669,1582.2729644527378
period,1771.2216903931105,1.74332843542629,267,2.3336254155377034,114.34764536134747
economic,1767.2718443637414,1.739440791696596,218,2.535540666232059,103.95716731551443
referred,1766.8568754134212,1.7390323576903752,276,2.3005948898612214,641.8659742712807
monitoring,1761.284836248172,1.7335480671733976,204,2.6016024169101515,148.29133776387863
well,1757.8583181558054,1.7301755099958713,209,2.5775048653310915,105.67769947857475
legal,1754.2273175791324,1.726601690530642,240,2.439815462557905,114.67132674022155
apply,1753.4410284230223,1.7258277838809275,335,2.107501236085356,115.91256798469456
take,1753.0730449249297,1.725465595398553,336,2.1045294656961984,134.6898858045567
wagering,1752.2692333608834,1.724674442284334,3,6.538318034928669,1059.2075216584444
court,1749.2310008069537,1.721684055912356,138,2.9901384629178684,152.4970616088113
production,1740.2199104149415,1.7128148724556511,169,2.788813958998298,94.81967460594213
description,1739.4492528392752,1.712056351219759,265,2.341116087266861,84.280179141607
reporting,1735.09128975328,1.707767017473701,221,2.5219350141762806,95.83353053869867
opportunities,1734.7656907256032,1.707446545989767,226,2.499662378567157,99.98649514268628
party,1732.9113568505277,1.7056214142229602,192,2.6619222071436743,122.44842152860902
sexual,1731.8990328708583,1.704625032353207,96,3.349901417545177,227.79329639307204
limited,1728.3893654177364,1.7011706352536775,253,2.3872781290300233,52.520118838660515
operator,1727.7750623796262,1.7005660062791597,69,3.676117153999201,349.2311296299241
consultation,1726.1558985520317,1.6989723410945194,322,2.1469600728259035,90.17232305868795
china,1725.935025019391,1.6987549458852276,83,3.4937955972052466,209.62773583231478
cybersecurity,1721.0579170655478,1.693954642781051,243,2.427444170755358,82.53310180568216
study,1720.6982127019505,1.693600603053101,169,2.788813958998298,170.11765149889618
efforts,1716.0380919666065,1.6890138700458726,265,2.341116087266861,117.05580436334304
case,1713.7041908819363,1.6867167233089924,238,2.4481488441170494,132.20003758232068
funds,1712.5156354938076,1.685546885328551,183,2.709676638439574,138.19350856041828
terms,1711.792335377181,1.684834975764942,294,2.23763703970874,51.46565191330102
natural,1709.1142858434334,1.6821991002395997,173,2.765557096834031,218.47901064988844
institute,1701.1765149889625,1.6743863336505536,169,2.788813958998298,114.34137231893021
effective,1696.0438462227244,1.6693344943137052,308,2.1912711191508145,70.12067581282606
local,1689.1780266175497,1.662576797851919,217,2.540117333259471,78.7436373310436
oversight,1686.2458888092158,1.6596908354421416,190,2.67233896800193,93.53186388006755
processing,1685.2187297441412,1.6586798521103752,196,2.6414086673105714,166.408746040566
visual,1680.357702895035,1.6538953768651918,80,3.5301632413761213,155.32718262054934
decisions,1678.409833809618,1.6519781828834823,229,2.4865330871253644,69.6229264395102
reasonable,1677.6367923132727,1.6512173152689693,200,2.621307487989484,52.42614975978968
analysis,1673.5673445186185,1.6472119532663567,326,2.1346522251513065,34.154435602420904
market,1671.8427412628357,1.6455145091169643,110,3.2150821947362256,813.4157952682651
autonomous,1670.5750974425628,1.6442668281914987,136,3.004631470220435,219.33809732609174
harm,1669.4248672205936,1.643134711831293,163,2.824745968224361,107.34034679252572
organization,1669.3330678853135,1.6430443581548362,216,2.5447150425081,117.0568919553726
interest,1664.2810229889665,1.6380718730206363,191,2.6671170240207784,136.0229682250597
number,1662.165760413586,1.6359899216669154,215,2.5493339883643946,66.28268369747425
level,1656.8571333504924,1.6307648950300122,227,2.495266767094119,124.76333835470595
best,1656.771021546836,1.630680139317752,253,2.3872781290300233,59.68195322575058
end,1652.3876047580939,1.6263657527146593,259,2.3639307650330323,80.3736460111231
areas,1632.658462698131,1.606947305805247,225,2.504077396776274,162.7650307904578
memorandum,1631.326568279338,1.6056363861017107,43,4.140422762130299,347.79551201894515
equipment,1630.6093786759773,1.6049304908228124,158,2.8557081938283284,79.9598294271932
grant,1627.3254776663111,1.6016983047896762,105,3.261173301936493,130.44693207745973
military,1626.457055568754,1.6008435586306633,135,3.011957510312508,105.41851286093778
product,1625.6970232459846,1.600095495320851,165,2.8126246076920167,129.38073195383276
students,1625.5910103751676,1.5999911519440626,86,3.4587042773939762,383.91617479073136
project,1621.352286091867,1.5958191792242784,96,3.349901417545177,140.69585953689744
rules,1619.51736846271,1.5940131579357382,201,2.616344698647355,86.33937505536271
given,1615.8092768331596,1.5903634614499602,351,2.060981220450463,30.914718306756946
employment,1613.4648763124178,1.5880559806224586,154,2.881187279129313,158.46530035211222
ethical,1611.6846315127327,1.5863037711739496,138,2.9901384629178684,158.47733853464703
strategy,1607.9305354798664,1.582608794763648,146,2.934179809269824,149.643170272761
labor,1605.955195643928,1.5806645626416613,128,3.064799991686888,134.85119963422306
regarding,1605.3119246835483,1.5800314219326264,313,2.175219410140307,54.38048525350767
associated,1599.974179880533,1.5747777361028867,282,2.2791654984053222,61.5374684569437
union,1590.8983677678712,1.5658448501652276,55,3.8992607053134107,951.4196120964722
example,1583.9849481318709,1.5590403032794005,88,3.4359760263164203,130.56708900002397
actions,1580.266155161737,1.5553800739780876,243,2.427444170755358,82.53310180568216
tool,1568.624358231452,1.5439216124325317,105,3.261173301936493,150.01397188907868
materials,1566.6278423305168,1.5419565377268867,182,2.715126243207139,135.75631216035694
administrative,1565.57803243256,1.5409232602682676,223,2.51296634419352,87.9538220467732
determination,1565.4129959848472,1.5407608228197314,136,3.004631470220435,156.2408364514626
principles,1565.0396614302733,1.5403933675494816,168,2.7947136811254865,81.04669675263911
notification,1560.6505385594335,1.5360733647238518,94,3.370735504448019,141.5708911868168
projects,1558.6123026848334,1.5340672270520013,141,2.968785338447299,77.18841879962977
developers,1558.1052110309142,1.5335681210934196,103,3.2802214969071875,193.53306831752406
against,1557.219017060265,1.5326958829333317,278,2.2934006142271945,52.748214127225474
basis,1554.925616446037,1.5304385988642097,278,2.2934006142271945,107.78982886867814
authorization,1552.622520154724,1.5281717718058307,262,2.352458363870795,122.32783492128135
methods,1547.1867458449221,1.522821600241065,216,2.5447150425081,96.6991716153078
guidelines,1546.618937173873,1.5222627334388514,155,2.874756388799023,68.99415333117655
submitted,1543.925094397652,1.5196113133835156,230,2.4821946855267667,34.75072559737473
advisory,1542.9553182670759,1.518656809317988,102,3.289883407818924,78.95720178765418
need,1541.46981131514,1.517194696176319,177,2.742828845756475,139.88427113358023
sector,1539.5235568740393,1.515279091411456,240,2.439815462557905,53.67594017627391
making,1537.1149787135766,1.512908443615725,255,2.3794349515689976,59.48587378922494
list,1533.2413247778695,1.5090957921042023,177,2.742828845756475,74.05637883542482
test,1532.2571469346055,1.5081271131246117,187,2.6881704332186107,80.64511299655832
communication,1529.6071280793367,1.5055188268497408,166,2.806618583631805,89.81179467621776
documentation,1525.4933884332156,1.5014698705051335,133,3.0267725960976484,296.62371441756954
assistance,1524.3826964071898,1.500376669692116,195,2.6464977368180427,52.929954736360855
consumers,1520.6124102189244,1.4966657580894926,89,3.424802725718295,270.5594153317453
conditions,1518.5349304439187,1.494620994531416,197,2.6363453653540248,292.63433555429674
same,1514.6269276261269,1.4907745350650854,227,2.495266767094119,49.90533534188238
medical,1514.097370645577,1.4902533175645443,132,3.034263267826806,142.6103735878599
trade,1504.5035706701772,1.480810601053324,159,2.8494385808147333,45.59101729303573
account,1499.721747972804,1.4761040826503977,188,2.6828653809889174,198.5320381931799
only,1498.8074836429305,1.4752042161839867,258,2.367784334349022,78.13688303351773
meaning,1497.4117324522947,1.4738304453270616,282,2.2791654984053222,66.09579945375434
appointed,1494.736730992222,1.4711975698742341,101,3.299639582764289,92.38990831740009
providing,1490.512829551614,1.4670401865665492,284,2.272123215779909,45.44246431559819
impacts,1486.7876783587599,1.4633736991720077,168,2.7947136811254865,86.63612411489008
mechanisms,1484.9027978648833,1.461518501835515,183,2.709676638439574,59.61288604567063
congressional,1484.1698382763557,1.460797084917673,176,2.7484626634747307,76.95695457729246
specified,1483.8704055542535,1.4605023676715094,177,2.742828845756475,287.9970288044299
provision,1472.301140976053,1.4491152962362726,226,2.499662378567157,54.99257232847745
