node_id,node_type,label,agora_id,casual_name,link_to_document,most_recent_activity,most_recent_activity_date,jurisdiction,parent_authority,description,document_id,segment_position,summary,non_operative,not_ai_related,source_column
collection:fy2023_ndaa,Collection,FY2023 NDAA,,,,,,,,AI-related provisions from the National Defense Authorization Act for fiscal year 2023.,,,,,,
collection:fy2025_ndaa,Collection,FY2025 NDAA,,,,,,,,AI-related provisions from the National Defense Authorization Act for fiscal year 2025.,,,,,,
collection:chinese_law_and_policy,Collection,Chinese law and policy,,,,,,,,"AI-related laws, policies, and plans from China.",,,,,,
collection:fy2026_ndaa,Collection,FY2026 NDAA,,,,,,,,AI-related provisions from the National Defense Authorization Act for fiscal year 2026.,,,,,,
collection:miscellaneous_documents,Collection,Miscellaneous documents,,,,,,,,Documents not covered in other collections.,,,,,,
collection:u.s._state_and_local_documents,Collection,U.S. state and local documents,,,,,,,,AI-related laws from U.S. states and localities (not comprehensive).,,,,,,
collection:multinational,Collection,Multinational,,,,,,,,Notable AI governance documents from multinational organizations and venues.,,,,,,
collection:fy2024_ndaa,Collection,FY2024 NDAA,,,,,,,,AI-related provisions from the National Defense Authorization Act for fiscal year 2024.,,,,,,
collection:u.s._federal_laws,Collection,U.S. federal laws,,,,,,,,"AI-related federal laws, both proposed and enacted.",,,,,,
collection:corporate_policies_and_commitments,Collection,Corporate policies and commitments,,,,,,,,AI governance pledges and policy documents from leading companies.,,,,,,
segment:1_1,Segment,Segment 1,,,,,,,,,1,1,Requires the Secretary of Defense to develop a modern IT infrastructure plan for AI capabilities.,false,false,
segment:1_2,Segment,Segment 2,,,,,,,,,1,2,"Establishes a working group for digital infrastructure, requiring diverse Defense Department representation and external consultation.",false,false,
segment:1_3,Segment,Segment 3,,,,,,,,,1,3,Requires the Secretary of Defense to assemble enterprise data sets in specified operational areas.,false,false,
segment:1_4,Segment,Segment 4,,,,,,,,,1,4,Requires the Secretary to report plan development status to congressional defense committees within 180 days.,false,false,
segment:2_1,Segment,Segment 1,,,,,,,,,2,1,Requires the Secretary of Defense to review AI applications and establish performance metrics within 180 days.,false,false,
segment:2_2,Segment,Segment 2,,,,,,,,,2,2,"Requires comprehensive review of skill gaps, AI investments, and integration across military operations and business processes.",false,false,
segment:2_3,Segment,Segment 3,,,,,,,,,2,3,"Requires the Secretary of Defense to report findings, actions, objectives, and metrics to congressional defense committees.",false,false,
segment:3_1,Segment,Segment 1,,,,,,,,,3,1,Modifies the Joint Common Foundation for easier AI company contracts with the Department of Defense.,false,false,
segment:3_2,Segment,Segment 2,,,,,,,,,3,2,Relieves Department of Defense from independently contracting for AI platforms and services.,false,false,
segment:4_1,Segment,Segment 1,,,,,,,,,4,1,Establishes data repositories for AI development; allows access for improved software capabilities for defense.,false,false,
segment:5_1,Segment,Segment 1,,,,,,,,,5,1,Clarifies the role of AI senior official by amending references to the Joint Artificial Intelligence Center.,false,false,
segment:5_2,Segment,Segment 2,,,,,,,,,5,2,"Amends Section 226(b) to replace ""Director of the Joint Artificial Intelligence Center"" with designated official.",false,false,
segment:5_3,Segment,Segment 3,,,,,,,,,5,3,"Amends Section 227(a) by replacing ""Joint Artificial Intelligence Center"" with designated official's office.",false,false,
segment:5_4,Segment,Segment 4,,,,,,,,,5,4,"Amends law to establish data repositories for AI development, allowing access to public and private sectors.",false,false,
segment:5_5,Segment,Segment 5,,,,,,,,,5,5,Amends the designation from JAIC to the office under section 238 of the 2019 Act.,false,false,
segment:5_6,Segment,Segment 6,,,,,,,,,5,6,"Amends section 233 to update designations and extend the deadline to September 30, 2026.",false,false,
segment:5_7,Segment,Segment 7,,,,,,,,,5,7,Amends the designated official for AI in defense from the Joint AI Center Director to another official.,false,false,
segment:5_8,Segment,Segment 8,,,,,,,,,5,8,Amends the pilot program to change oversight from the Joint AI Center to a designated official's office.,false,false,
segment:5_9,Segment,Segment 9,,,,,,,,,5,9,"Amends section 808 to replace ""Director"" with ""Official"" for AI and machine learning responsibilities.",false,false,
segment:5_10,Segment,Segment 10,,,,,,,,,5,10,Amends section 260 to update terminologies and extend reporting requirements for the designated AI office.,false,false,
segment:5_11,Segment,Segment 11,,,,,,,,,5,11,"Amends Defense roles in AI research, assigning responsibilities to specific officials, and updates organizational structure.",false,false,
segment:5_12,Segment,Segment 12,,,,,,,,,5,12,Deems references to JAIC Director refer to the official designated under John S. McCain NDAA 2019.,false,false,
segment:6_1,Segment,Segment 1,,,,,,,,,6,1,"Establishes priority projects for AI and digital solutions, assigning execution and funding responsibilities.",false,false,
segment:6_2,Segment,Segment 2,,,,,,,,,6,2,"Holds component heads accountable for data, AI, cybersecurity; requires reform plans, career paths, AI integration goals.",false,false,
segment:7_1,Segment,Segment 1,,,,,,,,,7,1,Mandates development of a five-year roadmap for rapid AI adoption in Cyberspace Operations Forces.,false,false,
segment:7_2,Segment,Segment 2,,,,,,,,,7,2,"Requires identification, prioritization, development, and synchronization of AI systems for Department cybersecurity and cyber missions.",false,false,
segment:8_1,Segment,Segment 1,,,,,,,,,8,1,"Establishes and reviews AI policies, standards, and procedures for the intelligence community's accelerated adoption.",false,false,
segment:8_2,Segment,Segment 2,,,,,,,,,8,2,Ensures policies align with AI ethics principles and guides intelligence community budget development for AI capabilities.,false,false,
segment:8_3,Segment,Segment 3,,,,,,,,,8,3,Requires each intelligence element to appoint a senior official overseeing AI efforts and coordination.,false,false,
segment:9_1,Segment,Segment 1,,,,,,,,,9,1,"Establishes policy for user adoption metrics in AI contracts, requiring success measurement and exceptions as needed.",false,false,
segment:9_2,Segment,Segment 2,,,,,,,,,9,2,Requires the Director to submit the policy to specified congressional committees within 60 days.,false,false,
segment:10_1,Segment,Segment 1,,,,,,,,,10,1,"Requires intelligence community officials to report AI integration efforts, authorities, resources, roles, responsibilities, and policy applications.",false,false,
segment:10_2,Segment,Segment 2,,,,,,,,,10,2,"Mandates inspectors general audit AI efforts, evaluate policy consistency, implementation, and identify adoption barriers.",false,false,
segment:10_3,Segment,Segment 3,,,,,,,,,10,3,"Disaggregates audit results, includes input from relevant units, and audits DNI coordination for AI best practices.",false,false,
segment:10_4,Segment,Segment 4,,,,,,,,,10,4,Requires the Director of National Intelligence to submit annual AI adoption progress reports to congressional committees.,false,false,
segment:10_5,Segment,Segment 5,,,,,,,,,10,5,"Includes progress in AI adoption, contracts, relevant positions, and policy compliance within the intelligence community.",false,false,
segment:10_6,Segment,Segment 6,,,,,,,,,10,6,"Recommends AI adoption strategies, assesses foreign AI advances, identifies barriers, and may include classified data reports.",false,false,
segment:11_1,Segment,Segment 1,,,,,,,,,11,1,"Requires the Director of National Intelligence to develop plans for AI workforce recruitment, retention, and expertise evaluation.",false,false,
segment:11_2,Segment,Segment 2,,,,,,,,,11,2,"Requires submission of a report on workforce needs in AI by January 1, 2024.",false,false,
segment:11_3,Segment,Segment 3,,,,,,,,,11,3,Includes an assessment of talent pipeline quality and sustainability in emerging technologies within the intelligence community.,false,false,
segment:12_1,Segment,Segment 1,,,,,,,,,12,1,Requires the Director of National Intelligence to report on establishing a technology acquisition cadre within 180 days.,false,false,
segment:12_2,Segment,Segment 2,,,,,,,,,12,2,"Examines effectiveness, assesses requirements, and recommends establishment of AI cadre for intelligence community missions.",false,false,
segment:13_1,Segment,Segment 1,,,,,,,,,13,1,Requires drafting a policy to promote code-free AI tools in the intelligence community within a year.,false,false,
segment:13_2,Segment,Segment 2,,,,,,,,,13,2,"Includes objectives, incentives, and a coordination plan for code-free AI tools in the intelligence community.",false,false,
segment:13_3,Segment,Segment 3,,,,,,,,,13,3,Requires the Director of National Intelligence to submit draft policy and assessments to various congressional committees.,false,false,
segment:14_1,Segment,Segment 1,,,,,,,,,14,1,"Cites the ""Advancing American AI Act."" Encourages AI programs, modernizes systems, promotes values, and tests applications.",false,false,
segment:14_2,Segment,Segment 2,,,,,,,,,14,2,"Defines terms: ""agency,"" ""appropriate congressional committees,"" and ""artificial intelligence"" with specific references.",false,false,
segment:14_3,Segment,Segment 3,,,,,,,,,14,3,"Defines ""artificial intelligence system"" as software using AI, excluding common commercial products.",false,false,
segment:14_4,Segment,Segment 4,,,,,,,,,14,4,"Mandates the Director consider diverse inputs for AI guidance in government, including expert recommendations and principles.",false,false,
segment:14_5,Segment,Segment 5,,,,,,,,,14,5,"Mandates Secretary Homeland Security to issue AI policies considering privacy, civil rights, security, and resource needs.",false,false,
segment:14_6,Segment,Segment 6,,,,,,,,,14,6,"Requires the Inspector General to identify AI training and investments for improved governance, oversight, and audits.",false,false,
segment:14_7,Segment,Segment 7,,,,,,,,,14,7,"Develops means to ensure AI contracts protect privacy, civil rights, data security, and align with guidance.",false,false,
segment:14_8,Segment,Segment 8,,,,,,,,,14,8,"Requires the Director to consult, update, brief, and sunset measures for AI-related considerations and implementations.",false,false,
segment:14_9,Segment,Segment 9,,,,,,,,,14,9,"Requires agencies to inventory, share, and publicly disclose AI use cases, following privacy and security laws.",false,false,
segment:14_10,Segment,Segment 10,,,,,,,,,14,10,Encourages creation of public AI use directory; coordinates sharing; exempts Department of Defense.,false,false,
segment:14_11,Segment,Segment 11,,,,,,,,,14,11,"Requires the Director to identify four AI use cases for modernization, linking multiple data sources.",false,false,
segment:14_12,Segment,Segment 12,,,,,,,,,14,12,"Enables agencies to coordinate, modernize systems, and deploy scalable AI technologies in secure environments.",false,false,
segment:14_13,Segment,Segment 13,,,,,,,,,14,13,"Requires agency heads to evaluate AI risks and develop mitigation plans addressing performance, data, processes, and vulnerabilities.",false,false,
segment:14_14,Segment,Segment 14,,,,,,,,,14,14,"Prioritizes projects benefiting from privacy-preserving techniques, considering civil rights and liberties. Requires privacy-preserving techniques.",false,false,
segment:14_15,Segment,Segment 15,,,,,,,,,14,15,"Includes AI-driven productivity, investment returns, compliance, fraud reduction, and outcome measurement across specified areas.",false,false,
segment:14_16,Segment,Segment 16,,,,,,,,,14,16,"Requires establishing AI capabilities for data management, prediction, visualization, adaptability, collaboration, and data protection.",false,false,
segment:14_17,Segment,Segment 17,,,,,,,,,14,17,Requires the Director to brief Congress annually; ceases effectiveness 5 years post-enactment.,false,false,
segment:14_18,Segment,Segment 18,,,,,,,,,14,18,Amends funding limit to $25 million; redefines terms; extends applicability to 2027.,false,false,
segment:14_19,Segment,Segment 19,,,,,,,,,14,19,"Extends the DHS Other Transaction Authority expiration date to September 30, 2024, enabling prototype projects.",false,false,
segment:14_20,Segment,Segment 20,,,,,,,,,14,20,Encourages piloting supply chain risk tools; exempts intelligence community from subtitle's application.,false,false,
segment:15_1,Segment,Segment 1,,,,,,,,,15,1,"Requires coordination of AI activities for operational use, enhancing mission capability, and performance within the Coast Guard.",false,false,
segment:15_2,Segment,Segment 2,,,,,,,,,15,2,Designates a senior official to coordinate AI and machine learning activities for the Coast Guard.,false,false,
segment:15_3,Segment,Segment 3,,,,,,,,,15,3,"Develops a strategic plan for AI technology coordination, demonstration, and transition to operational use.",false,false,
segment:16_1,Segment,Segment 1,,,,,,,,,16,1,Mandates the Commandant review AI applications and establish performance metrics within two years.,false,false,
segment:16_2,Segment,Segment 2,,,,,,,,,16,2,"Conducts a review of skill gaps and establishes objectives for recruiting, training, and talent management.",false,false,
segment:16_3,Segment,Segment 3,,,,,,,,,16,3,Requires the Commandant to assess and establish objectives for AI integration and resource needs in the Coast Guard.,false,false,
segment:16_4,Segment,Segment 4,,,,,,,,,16,4,"Requires the Commandant to submit a report on review findings, performance objectives, and legislative recommendations.",false,false,
segment:17_1,Segment,Segment 1,,,,,,,,,17,1,Requires the Secretary of Defense to assess and strategize against threats from unmanned aerial system swarms.,false,false,
segment:17_2,Segment,Segment 2,,,,,,,,,17,2,Mandates the Secretary of Defense develop and implement a strategy to counter unmanned aerial system swarms.,false,false,
segment:17_3,Segment,Segment 3,,,,,,,,,17,3,Requires the Secretary of Defense to report findings and strategy to congressional defense committees within 270 days.,false,false,
segment:23_1,Segment,Segment 1,,,,,,,,,23,1,Delegates acquisition authority to the Director of the Joint Artificial Intelligence Center by the Secretary of Defense.,false,false,
segment:23_2,Segment,Segment 2,,,,,,,,,23,2,"Appoints an acquisition executive to supervise, negotiate, and represent acquisition activities for the JAIC Center.",false,false,
segment:23_3,Segment,Segment 3,,,,,,,,,23,3,Requires the Secretary of Defense to provide 10 full-time employees with specific expertise to the Center.,false,false,
segment:23_4,Segment,Segment 4,,,,,,,,,23,4,"Requires Secretary of Defense to submit implementation plan and demonstrate operational capability by March 15, 2022.",false,false,
segment:24_1,Segment,Segment 1,,,,,,,,,24,1,Requires the Secretary of Defense to issue guidance on direct hiring processes for AI and tech personnel.,false,false,
segment:24_2,Segment,Segment 2,,,,,,,,,24,2,"Instructs HR to maximize direct hiring for AI roles and prioritize expert panels, ePortfolio reviews, referral bonuses.",false,false,
segment:24_3,Segment,Segment 3,,,,,,,,,24,3,Requires the Secretary to report on guidance objectives and effects on AI hiring processes within one year.,false,false,
segment:25_1,Segment,Segment 1,,,,,,,,,25,1,"Establishes definitions for terms including Advisory Committee, agency head, artificial intelligence, and community college.",false,false,
segment:25_2,Segment,Segment 2,,,,,,,,,25,2,"Defines key terms for AI initiative, office, institute, education, committee, and machine learning.",false,false,
segment:25_3,Segment,Segment 3,,,,,,,,,25,3,"Establishes the National Artificial Intelligence Initiative to ensure AI leadership, trustworthiness, workforce preparation, and coordination.",false,false,
segment:25_4,Segment,Segment 4,,,,,,,,,25,4,"Requires supporting AI R&D, education, workforce training, interagency coordination, and international cooperation for 10 years.",false,false,
segment:25_5,Segment,Segment 5,,,,,,,,,25,5,Establishes the National AI Initiative Office to support federal AI activities and public outreach.,false,false,
segment:25_6,Segment,Segment 6,,,,,,,,,25,6,"Establishes an Interagency Committee to coordinate Federal programs, co-chaired by rotating agency representatives.",false,false,
segment:25_7,Segment,Segment 7,,,,,,,,,25,7,"Ensures interagency AI coordination, develops strategic plans, proposes budgets, and considers advisory recommendations.",false,false,
segment:25_8,Segment,Segment 8,,,,,,,,,25,8,Requires the Interagency Committee to submit an annual budget report to various Congressional committees.,false,false,
segment:25_9,Segment,Segment 9,,,,,,,,,25,9,"Establishes an advisory committee to provide AI-related advice, appointed by the Secretary of Commerce.",false,false,
segment:25_10,Segment,Segment 10,,,,,,,,,25,10,"Advises the President on AI competitiveness, progress, workforce impact, resource utilization, and Initiative updates.",false,false,
segment:25_11,Segment,Segment 11,,,,,,,,,25,11,"Evaluates the balance, leadership, management, ethics, international cooperation, accountability, and regional opportunities within the AI Initiative.",false,false,
segment:25_12,Segment,Segment 12,,,,,,,,,25,12,"Establishes a subcommittee to advise the President on AI in law enforcement, addressing bias, security, and legal standards.",false,false,
segment:25_13,Segment,Segment 13,,,,,,,,,25,13,"Mandates the National Academies study AI's workforce impact, needs, gaps, and provide recommendations.",false,false,
segment:25_14,Segment,Segment 14,,,,,,,,,25,14,Requires input from stakeholders; mandates report submission to Congress and public accessibility within two years.,false,false,
segment:25_15,Segment,Segment 15,,,,,,,,,25,15,Establishes a task force to investigate and propose a roadmap for a National AI Research Resource.,false,false,
segment:25_16,Segment,Segment 16,,,,,,,,,25,16,"Composes the Task Force of 12 AI experts from agencies, academia, and private organizations.",false,false,
segment:25_17,Segment,Segment 17,,,,,,,,,25,17,"Develops a roadmap for a National AI Research Resource, detailing goals, governance, infrastructure, security, and sustainability.",false,false,
segment:25_18,Segment,Segment 18,,,,,,,,,25,18,"Requires the Task Force to consult with various governmental bodies, private industry, and civil organizations.",false,false,
segment:25_19,Segment,Segment 19,,,,,,,,,25,19,Requires the Task Force to submit interim and final reports with AI research resource recommendations.,false,false,
segment:25_20,Segment,Segment 20,,,,,,,,,25,20,"Defines ""National Artificial Intelligence Research Resource"" as a system providing AI resources and support to researchers.",false,false,
segment:25_21,Segment,Segment 21,,,,,,,,,25,21,"Establishes AI research institutes network with financial assistance, emphasizing interdisciplinary research, education, and workforce development.",false,false,
segment:25_22,Segment,Segment 22,,,,,,,,,25,22,"Allows Institutes to manage data, develop testbeds, conduct research, provide resources, assist, engage, and expand AI participation.",false,false,
segment:25_23,Segment,Segment 23,,,,,,,,,25,23,"Awards financial assistance for 5 years; allows 5-year extensions; requires competitive, merit-based review and U.S. location.",false,false,
segment:25_24,Segment,Segment 24,,,,,,,,,25,24,"Amends the act to advance AI standards, risk frameworks, trustworthiness, and bias testing guidelines.",false,false,
segment:25_25,Segment,Segment 25,,,,,,,,,25,25,"Supports NIST Director in developing best practices and standards for trustworthy AI systems, including various critical areas.",false,false,
segment:25_26,Segment,Segment 26,,,,,,,,,25,26,Produces curated AI data sets; supports institutes; engages in standards development; enters into necessary contracts.,false,false,
segment:25_27,Segment,Segment 27,,,,,,,,,25,27,"Develops a voluntary AI risk management framework addressing trustworthiness, standards, and international alignment within two years.",false,false,
segment:25_28,Segment,Segment 28,,,,,,,,,25,28,Develops guidance for voluntary data sharing to advance AI research within one year post-enactment.,false,false,
segment:25_29,Segment,Segment 29,,,,,,,,,25,29,Solicits input from diverse stakeholders and experts; provides public comment opportunities on developed guidelines.,false,false,
segment:25_30,Segment,Segment 30,,,,,,,,,25,30,Establishes a Center to coordinate AI efforts and expand partnerships within the National Oceanic and Atmospheric Administration.,false,false,
segment:25_31,Segment,Segment 31,,,,,,,,,25,31,Coordinates and facilitates AI research across NOAA; establishes data standards; accelerates AI application transition; develops training.,false,false,
segment:25_32,Segment,Segment 32,,,,,,,,,25,32,"Collaborates with stakeholders, leverages AI research, engages agencies, authorizes $10M, protects national security interests.",false,false,
segment:25_33,Segment,Segment 33,,,,,,,,,25,33,"Requires the National Science Foundation to fund AI research, education, and interdisciplinary studies, enhancing K-12 and higher education.",false,false,
segment:25_34,Segment,Segment 34,,,,,,,,,25,34,"Supports partnerships to facilitate AI research, ensures infrastructure access, conducts competitions, coordinates efforts, provides guidance, evaluates collaboration.",false,false,
segment:25_35,Segment,Segment 35,,,,,,,,,25,35,Permits applicants to include software engineering support in budgets. Recognizes ethical risks in AI research.,false,false,
segment:25_36,Segment,Segment 36,,,,,,,,,25,36,"Mandates awarding grants for AI education to support diverse workforce, awareness, curriculum, equitable access, and understanding.",false,false,
segment:25_37,Segment,Segment 37,,,,,,,,,25,37,"Requires the National Science Foundation to fund eligible institutions recruiting AI faculty, including minority-serving universities.",false,false,
segment:25_38,Segment,Segment 38,,,,,,,,,25,38,Establishes fellowships for faculty to develop research in technology ethics and AI-related partnerships.,false,false,
segment:25_39,Segment,Segment 39,,,,,,,,,25,39,"Establishes a five-year pilot program for grants in rapidly evolving, high-priority research topics.",false,false,
